DATE,SUBDIVISION,YEAR,MONTH,MONTH_NAME,RAINFALL_MM,IS_OUTLIER_YEAR
1928-02-01,COASTAL KARNATAKA,1928,2,FEB,29.3,False
1928-03-01,COASTAL KARNATAKA,1928,3,MAR,21.7,False
1928-04-01,COASTAL KARNATAKA,1928,4,APR,36.3,False
1928-05-01,COASTAL KARNATAKA,1928,5,MAY,17.1,False
1928-06-01,COASTAL KARNATAKA,1928,6,JUN,844.6,False
1928-07-01,COASTAL KARNATAKA,1928,7,JUL,1108.8,False
1928-08-01,COASTAL KARNATAKA,1928,8,AUG,836.6,False
1928-09-01,COASTAL KARNATAKA,1928,9,SEP,107.4,False
1928-10-01,COASTAL KARNATAKA,1928,10,OCT,316.4,False
1928-11-01,COASTAL KARNATAKA,1928,11,NOV,12.0,False
1928-12-01,COASTAL KARNATAKA,1928,12,DEC,9.3,False
1929-01-01,COASTAL KARNATAKA,1929,1,JAN,1.9,False
1929-02-01,COASTAL KARNATAKA,1929,2,FEB,0.2,False
1929-03-01,COASTAL KARNATAKA,1929,3,MAR,2.5,False
1929-04-01,COASTAL KARNATAKA,1929,4,APR,105.6,False
1929-05-01,COASTAL KARNATAKA,1929,5,MAY,114.7,False
1929-06-01,COASTAL KARNATAKA,1929,6,JUN,1361.6,False
1929-07-01,COASTAL KARNATAKA,1929,7,JUL,901.3,False
1929-08-01,COASTAL KARNATAKA,1929,8,AUG,566.9,False
1929-09-01,COASTAL KARNATAKA,1929,9,SEP,265.2,False
1929-10-01,COASTAL KARNATAKA,1929,10,OCT,281.9,False
1929-11-01,COASTAL KARNATAKA,1929,11,NOV,61.4,False
1929-12-01,COASTAL KARNATAKA,1929,12,DEC,0.2,False
1930-01-01,COASTAL KARNATAKA,1930,1,JAN,1.2,False
1930-02-01,COASTAL KARNATAKA,1930,2,FEB,0.2,False
1930-03-01,COASTAL KARNATAKA,1930,3,MAR,0.0,False
1930-04-01,COASTAL KARNATAKA,1930,4,APR,19.3,False
1930-05-01,COASTAL KARNATAKA,1930,5,MAY,171.5,False
1930-06-01,COASTAL KARNATAKA,1930,6,JUN,910.9,False
1930-07-01,COASTAL KARNATAKA,1930,7,JUL,706.8,False
1930-08-01,COASTAL KARNATAKA,1930,8,AUG,420.8,False
1930-09-01,COASTAL KARNATAKA,1930,9,SEP,401.2,False
1930-10-01,COASTAL KARNATAKA,1930,10,OCT,254.1,False
1930-11-01,COASTAL KARNATAKA,1930,11,NOV,14.2,False
1930-12-01,COASTAL KARNATAKA,1930,12,DEC,12.6,False
1931-01-01,COASTAL KARNATAKA,1931,1,JAN,0.0,False
1931-02-01,COASTAL KARNATAKA,1931,2,FEB,0.0,False
1931-03-01,COASTAL KARNATAKA,1931,3,MAR,2.4,False
1931-04-01,COASTAL KARNATAKA,1931,4,APR,33.4,False
1931-05-01,COASTAL KARNATAKA,1931,5,MAY,85.1,False
1931-06-01,COASTAL KARNATAKA,1931,6,JUN,673.4,False
1931-07-01,COASTAL KARNATAKA,1931,7,JUL,1244.0,False
1931-08-01,COASTAL KARNATAKA,1931,8,AUG,1201.9,False
1931-09-01,COASTAL KARNATAKA,1931,9,SEP,255.6,False
1931-10-01,COASTAL KARNATAKA,1931,10,OCT,183.5,False
1931-11-01,COASTAL KARNATAKA,1931,11,NOV,106.7,False
1931-12-01,COASTAL KARNATAKA,1931,12,DEC,56.5,False
1932-01-01,COASTAL KARNATAKA,1932,1,JAN,0.0,False
1932-02-01,COASTAL KARNATAKA,1932,2,FEB,0.0,False
1932-03-01,COASTAL KARNATAKA,1932,3,MAR,0.0,False
1932-04-01,COASTAL KARNATAKA,1932,4,APR,25.4,False
1932-05-01,COASTAL KARNATAKA,1932,5,MAY,255.4,False
1932-06-01,COASTAL KARNATAKA,1932,6,JUN,661.5,False
1932-07-01,COASTAL KARNATAKA,1932,7,JUL,1072.4,False
1932-08-01,COASTAL KARNATAKA,1932,8,AUG,457.2,False
1932-09-01,COASTAL KARNATAKA,1932,9,SEP,469.9,False
1932-10-01,COASTAL KARNATAKA,1932,10,OCT,348.7,False
1932-11-01,COASTAL KARNATAKA,1932,11,NOV,125.6,False
1932-12-01,COASTAL KARNATAKA,1932,12,DEC,7.3,False
1933-01-01,COASTAL KARNATAKA,1933,1,JAN,0.0,False
1933-02-01,COASTAL KARNATAKA,1933,2,FEB,0.1,False
1933-03-01,COASTAL KARNATAKA,1933,3,MAR,5.4,False
1933-04-01,COASTAL KARNATAKA,1933,4,APR,60.6,False
1933-05-01,COASTAL KARNATAKA,1933,5,MAY,360.3,False
1933-06-01,COASTAL KARNATAKA,1933,6,JUN,1031.9,False
1933-07-01,COASTAL KARNATAKA,1933,7,JUL,1326.6,False
